"Trial#","S1","S2","S3","Cum Prob"
3055,0,1,0,0.998690671031097
3056,0,1,0,0.99869109947644
3057,0,1,0,0.998691527641479
3058,0,1,0,0.998691955526488
3059,1,0,0,0.998692383131742
3060,0,1,0,0.998692810457516
3061,0,1,0,0.998693237504084
3062,0,1,0,0.998693664271718
3063,0,1,0,0.998694090760692
3064,0,1,0,0.998694516971279
3065,0,1,0,0.998694942903752
3066,0,1,0,0.998695368558382
3067,0,1,0,0.998695793935442
3068,0,1,0,0.998696219035202
3069,0,1,0,0.998696643857934
3070,0,1,0,0.998697068403909
3071,0,0,1,0.998697492673396
3072,0,1,0,0.998697916666667
3073,0,1,0,0.99869834038399
3074,0,1,0,0.998698763825634
3075,0,1,0,0.99869918699187
3076,0,1,0,0.998699609882965
3077,0,1,0,0.998700032499187
3078,0,1,0,0.998700454840806
3079,0,1,0,0.998700876908087
3080,0,1,0,0.998701298701299
3081,0,1,0,0.998701720220708
3082,0,1,0,0.99870214146658
3083,0,1,0,0.998702562439183
3084,0,1,0,0.998702983138781
3085,0,1,0,0.99870340356564
3086,0,1,0,0.998703823720026
3087,0,1,0,0.998704243602203
3088,0,1,0,0.998704663212435
3089,0,1,0,0.998705082550987
3090,0,1,0,0.998705501618123
3091,0,1,0,0.998705920414105
3092,0,1,0,0.998706338939198
3093,0,1,0,0.998706757193663
3094,0,0,1,0.998707175177763
3095,0,1,0,0.998707592891761
3096,0,1,0,0.998708010335917
3097,0,0,1,0.998708427510494
3098,0,1,0,0.998708844415752
3099,0,1,0,0.998709261051952
3100,0,1,0,0.998709677419355
3101,0,0,1,0.99871009351822
3102,0,0,1,0.998710509348807
3103,0,1,0,0.998710924911376
3104,0,1,0,0.998711340206186
3105,0,1,0,0.998711755233494
3106,1,0,0,0.998712169993561
3107,0,1,0,0.998712584486643
3108,0,1,0,0.998712998712999
3109,0,1,0,0.998713412672885
3110,0,1,0,0.998713826366559
3111,0,1,0,0.998714239794278
3112,0,1,0,0.998714652956298
3113,0,1,0,0.998715065852875
3114,0,1,0,0.998715478484265
3115,0,1,0,0.998715890850722
3116,0,1,0,0.998716302952503
3117,0,0,1,0.998716714789862
3118,0,1,0,0.998717126363053
3119,0,0,1,0.998717537672331
3120,0,1,0,0.998717948717949
3121,0,1,0,0.99871835950016
3122,0,1,0,0.998718770019218
3123,0,1,0,0.998719180275376
3124,0,1,0,0.998719590268886
3125,0,1,0,0.99872
3126,0,1,0,0.99872040946897
3127,0,1,0,0.998720818676047
3128,0,1,0,0.998721227621483
3129,0,1,0,0.998721636305529
3130,0,1,0,0.998722044728435
3131,0,1,0,0.99872245289045
3132,0,1,0,0.998722860791826
3133,0,1,0,0.998723268432812
3134,0,1,0,0.998723675813657
3135,0,1,0,0.998724082934609
3136,0,1,0,0.998724489795918
3137,0,1,0,0.998724896397832
3138,0,1,0,0.998725302740599
3139,0,1,0,0.998725708824466
3140,0,1,0,0.998726114649682
3141,0,1,0,0.998726520216492
3142,0,1,0,0.998726925525143
3143,0,1,0,0.998727330575883
3144,0,1,0,0.998727735368957
3145,0,1,0,0.998728139904611
3146,0,1,0,0.99872854418309
3147,0,1,0,0.998728948204639
3148,0,1,0,0.998729351969504
3149,0,0,1,0.99872975547793
3150,0,1,0,0.998730158730159
3151,0,1,0,0.998730561726436
3152,0,1,0,0.998730964467005
3153,0,1,0,0.998731366952109
3154,0,1,0,0.998731769181991
3155,0,0,1,0.998732171156894
3156,0,1,0,0.99873257287706
3157,0,1,0,0.99873297434273
3158,0,1,0,0.998733375554148
3159,0,1,0,0.998733776511554
3160,0,1,0,0.99873417721519
3161,0,1,0,0.998734577665296
3162,0,1,0,0.998734977862113
3163,0,1,0,0.998735377805881
3164,0,1,0,0.998735777496839
3165,0,1,0,0.998736176935229
3166,0,1,0,0.998736576121289
3167,0,1,0,0.998736975055257
3168,0,1,0,0.998737373737374
3169,0,1,0,0.998737772167876
3170,0,1,0,0.998738170347003
3171,0,1,0,0.998738568274992
3172,0,1,0,0.998738965952081
3173,0,1,0,0.998739363378506
3174,0,1,0,0.998739760554505
3175,0,0,1,0.998740157480315
3176,0,1,0,0.998740554156171
3177,0,1,0,0.99874095058231
3178,0,1,0,0.998741346758968
3179,0,1,0,0.998741742686379
3180,0,1,0,0.99874213836478
3181,0,1,0,0.998742533794404
3182,0,1,0,0.998742928975487
3183,0,1,0,0.998743323908263
3184,0,1,0,0.998743718592965
3185,0,1,0,0.998744113029827
3186,0,1,0,0.998744507219083
3187,0,1,0,0.998744901160966
3188,0,1,0,0.998745294855709
3189,0,1,0,0.998745688303543
3190,0,1,0,0.998746081504702
3191,0,1,0,0.998746474459417
3192,0,1,0,0.99874686716792
3193,0,1,0,0.998747259630442
3194,0,1,0,0.998747651847213
3195,0,1,0,0.998748043818466
3196,0,1,0,0.99874843554443
3197,0,1,0,0.998748827025336
3198,0,1,0,0.998749218261413
3199,0,1,0,0.998749609252892
3200,0,1,0,0.99875
3201,0,1,0,0.998750390502968
3202,0,1,0,0.998750780762024
3203,0,1,0,0.998751170777396
3204,0,1,0,0.998751560549313
3205,0,1,0,0.998751950078003
3206,0,1,0,0.998752339363693
3207,0,0,1,0.998752728406611
3208,0,1,0,0.998753117206983
3209,0,1,0,0.998753505765036
3210,0,1,0,0.998753894080997
3211,0,1,0,0.998754282155092
3212,0,1,0,0.998754669987547
3213,0,1,0,0.998755057578587
3214,0,1,0,0.998755444928438
3215,0,1,0,0.998755832037325
3216,0,1,0,0.998756218905473
3217,0,1,0,0.998756605533105
3218,0,1,0,0.998756991920448
3219,0,1,0,0.998757378067723
3220,0,1,0,0.998757763975155
3221,0,1,0,0.998758149642968
3222,0,1,0,0.998758535071384
3223,0,1,0,0.998758920260627
3224,0,1,0,0.998759305210918
3225,0,1,0,0.998759689922481
3226,0,1,0,0.998760074395536
3227,0,1,0,0.998760458630307
3228,0,1,0,0.998760842627014
3229,0,1,0,0.998761226385878
3230,0,0,1,0.998761609907121
3231,0,1,0,0.998761993190963
3232,0,0,1,0.998762376237624
3233,0,1,0,0.998762759047324
3234,0,0,1,0.998763141620284
3235,0,1,0,0.998763523956723
3236,0,1,0,0.99876390605686
3237,0,1,0,0.998764287920914
3238,0,1,0,0.998764669549104
3239,0,1,0,0.998765050941649
3240,0,1,0,0.998765432098765
3241,0,0,1,0.998765813020673
3242,0,1,0,0.998766193707588
3243,0,1,0,0.998766574159729
3244,0,1,0,0.998766954377312
3245,0,1,0,0.998767334360555
3246,0,0,1,0.998767714109673
3247,0,1,0,0.998768093624885
3248,0,1,0,0.998768472906404
3249,0,1,0,0.998768851954448
3250,0,1,0,0.998769230769231
3251,0,1,0,0.998769609350969
3252,0,1,0,0.998769987699877
3253,0,1,0,0.99877036581617
3254,0,0,1,0.998770743700061
3255,0,0,1,0.998771121351766
3256,0,1,0,0.998771498771499
3257,0,1,0,0.998771875959472
3258,0,0,1,0.998772252915899
3259,0,1,0,0.998772629640994
3260,0,1,0,0.998773006134969
3261,0,1,0,0.998773382398037
3262,0,1,0,0.998773758430411
3263,0,1,0,0.998774134232302
3264,0,1,0,0.998774509803922
3265,0,1,0,0.998774885145482
3266,0,1,0,0.998775260257195
3267,0,1,0,0.998775635139271
3268,1,0,0,0.998776009791922
3269,0,1,0,0.998776384215356
3270,0,1,0,0.998776758409786
3271,0,1,0,0.99877713237542
3272,0,1,0,0.998777506112469
3273,0,1,0,0.998777879621143
3274,0,1,0,0.998778252901649
3275,0,1,0,0.998778625954198
3276,0,1,0,0.998778998778999
3277,0,1,0,0.998779371376259
3278,0,1,0,0.998779743746187
3279,0,1,0,0.998780115888991
3280,0,1,0,0.998780487804878
3281,0,1,0,0.998780859494057
3282,0,1,0,0.998781230956734
3283,0,1,0,0.998781602193116
3284,0,1,0,0.99878197320341
3285,0,1,0,0.998782343987823
3286,0,1,0,0.998782714546561
3287,0,1,0,0.99878308487983
3288,0,1,0,0.998783454987834
3289,0,1,0,0.998783824870781
3290,0,1,0,0.998784194528875
3291,0,1,0,0.998784563962322
3292,0,1,0,0.998784933171324
3293,0,1,0,0.998785302156089
3294,0,1,0,0.998785670916818
3295,0,1,0,0.998786039453718
